,ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,count,gp_cumsum,avg_gp,minutes_cumsum,avg_minutes,pts_cumsum,avg_pts,oreb_cumsum,avg_oreb,dreb_cumsum,avg_dreb,reb_cumsum,avg_reb,asts_cumsum,avg_asts,stl_cumsum,avg_stl,blk_cumsum,avg_blk,turnover_cumsum,avg_turnover,pf_cumsum,avg_pf,fga_cumsum,avg_fga,fgm_cumsum,avg_fgm,fta_cumsum,avg_fta,ftm_cumsum,avg_ftm,tpa_cumsum,avg_tpa,tpm_cumsum,avg_tpm
14216,ROBERAL01,1995,Alvin,Robertson,TOR,N,77,32.18,9.32,1.43,3.01,4.44,4.19,2.16,0.47,2.38,3.48,7.88,3.7,2.05,1.39,1.96,0.53,1,77,77.0,32.18,32.18,9.32,9.32,1.43,1.43,3.01,3.01,4.44,4.44,4.19,4.19,2.16,2.16,0.47,0.47,2.38,2.38,3.48,3.48,7.88,7.88,3.7,3.7,2.05,2.05,1.39,1.39,1.96,1.96,0.53,0.53
14215,RIVERDO01,1995,Doc,Rivers,SAS,N,78,15.83,3.99,0.38,1.38,1.77,1.58,0.94,0.27,0.73,2.24,3.72,1.38,0.82,0.62,1.76,0.6,1,78,78.0,15.83,15.83,3.99,3.99,0.38,0.38,1.38,1.38,1.77,1.77,1.58,1.58,0.94,0.94,0.27,0.27,0.73,0.73,2.24,2.24,3.72,3.72,1.38,1.38,0.82,0.82,0.62,0.62,1.76,1.76,0.6,0.6
14214,RILEYER01,1995,Eric,Riley,MIN,N,25,12.4,3.68,1.28,1.76,3.04,0.2,0.32,0.64,0.68,1.68,2.96,1.4,1.12,0.88,0.04,0.0,1,25,25.0,12.4,12.4,3.68,3.68,1.28,1.28,1.76,1.76,3.04,3.04,0.2,0.2,0.32,0.32,0.64,0.64,0.68,0.68,1.68,1.68,2.96,2.96,1.4,1.4,1.12,1.12,0.88,0.88,0.04,0.04,0.0,0.0
14213,RIDERIS01,1995,Isaiah,Rider,MIN,N,75,34.59,19.6,1.32,2.8,4.12,2.84,0.64,0.31,2.68,2.72,16.08,7.47,3.95,3.31,3.67,1.36,1,75,75.0,34.59,34.59,19.6,19.6,1.32,1.32,2.8,2.8,4.12,4.12,2.84,2.84,0.64,0.64,0.31,0.31,2.68,2.68,2.72,2.72,16.08,16.08,7.47,7.47,3.95,3.95,3.31,3.31,3.67,3.67,1.36,1.36
14212,RICHMMI01,1995,Mitch,Richmond,SAC,N,81,36.37,23.11,0.67,2.65,3.32,3.15,1.54,0.23,2.72,2.88,16.89,7.54,6.06,5.25,6.36,2.78,1,81,81.0,36.37,36.37,23.11,23.11,0.67,0.67,2.65,2.65,3.32,3.32,3.15,3.15,1.54,1.54,0.23,0.23,2.72,2.72,2.88,2.88,16.89,16.89,7.54,7.54,6.06,6.06,5.25,5.25,6.36,6.36,2.78,2.78
14211,RICHAPO01,1995,Pooh,Richardson,LAC,N,63,31.95,11.65,0.56,1.95,2.51,5.4,1.22,0.21,1.51,2.13,10.54,4.46,1.67,1.24,3.89,1.49,1,63,63.0,31.95,31.95,11.65,11.65,0.56,0.56,1.95,1.95,2.51,2.51,5.4,5.4,1.22,1.22,0.21,0.21,1.51,1.51,2.13,2.13,10.54,10.54,4.46,4.46,1.67,1.67,1.24,1.24,3.89,3.89,1.49,1.49
14210,RICEGL01,1995,Glen,Rice,CHA,N,79,39.77,21.65,1.09,3.7,4.78,2.94,1.15,0.24,2.06,2.75,16.41,7.72,4.82,4.04,5.1,2.16,1,79,79.0,39.77,39.77,21.65,21.65,1.09,1.09,3.7,3.7,4.78,4.78,2.94,2.94,1.15,1.15,0.24,0.24,2.06,2.06,2.75,2.75,16.41,16.41,7.72,7.72,4.82,4.82,4.04,4.04,5.1,5.1,2.16,2.16
14209,REYNOJE01,1995,Jerry,Reynolds,MIL,N,19,10.05,2.95,0.68,1.05,1.74,0.63,0.79,0.32,0.84,1.05,2.79,1.11,1.11,0.68,0.53,0.05,1,19,19.0,10.05,10.05,2.95,2.95,0.68,0.68,1.05,1.05,1.74,1.74,0.63,0.63,0.79,0.79,0.32,0.32,0.84,0.84,1.05,1.05,2.79,2.79,1.11,1.11,1.11,1.11,0.68,0.68,0.53,0.53,0.05,0.05
14191,PRICEBR01,1995,Brent,Price,WA1,N,81,25.21,10.0,0.47,2.35,2.81,5.14,0.96,0.05,1.9,2.27,6.59,3.11,2.36,2.06,3.72,1.72,1,81,81.0,25.21,25.21,10.0,10.0,0.47,0.47,2.35,2.35,2.81,2.81,5.14,5.14,0.96,0.96,0.05,0.05,1.9,1.9,2.27,2.27,6.59,6.59,3.11,3.11,2.36,2.36,2.06,2.06,3.72,3.72,1.72,1.72
14208,RESPESH01,1995,Shawn,Respert,MIL,N,62,13.63,4.89,0.45,0.74,1.19,1.1,0.52,0.06,0.68,1.08,4.71,1.82,0.68,0.56,1.97,0.68,1,62,62.0,13.63,13.63,4.89,4.89,0.45,0.45,0.74,0.74,1.19,1.19,1.1,1.1,0.52,0.52,0.06,0.06,0.68,0.68,1.08,1.08,4.71,4.71,1.82,1.82,0.68,0.68,0.56,0.56,1.97,1.97,0.68,0.68
